ClientID,JoinDate,Gender,Married,Birth,MarvelFavoriteCharacter,Occupation,Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of Galaxy 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home
5NTVB21,1/5/2019,M,M,1968,Thanos,engineers,0,7,0,9,10,10,-1,1,9,8,10,-1,5,9,4,10,5,2,10,1,6,10,-1,9,-1,-1,-1
CHZCM9F,1/10/2018,M,M,1963,Iron Man,politicians,10,3,10,0,5,5,10,7,1,-1,4,8,8,3,4,4,6,-1,-1,8,7,-1,6,-1,-1,3,3
60377AO,1/5/2019,M,S,1974,MJ,shopkeepers,7,9,-1,9,10,-1,10,2,1,9,10,1,2,0,-1,10,-1,2,4,-1,10,9,10,8,5,5,10
ID8PVE0,1/11/2017,F,M,1983,Thanos,politicians,-1,3,5,2,-1,10,10,-1,7,-1,10,10,-1,-1,8,4,3,-1,10,-1,-1,10,8,4,-1,-1,-1
TM9QM3F,1/3/2020,M,M,1987,Doctor Strange,shopkeepers,0,-1,4,1,-1,4,7,6,-1,-1,-1,-1,10,10,-1,0,-1,-1,-1,-1,8,7,9,0,0,6,9
1OBRGMX,1/1/2020,F,M,1966,Thanos,politicians,5,7,9,6,5,10,-1,-1,8,-1,10,-1,5,6,-1,-1,-1,10,10,-1,5,10,3,-1,-1,4,1
7S1IQLX,1/11/2016,M,M,1989,Groot,politicians,6,-1,5,0,-1,-1,2,-1,10,10,-1,10,-1,5,10,8,-1,5,9,10,4,8,-1,10,10,0,1
VJNGFKM,1/6/2017,M,M,1965,Spider-Man,hotel/restaurant,5,-1,-1,8,-1,2,-1,4,8,8,8,2,9,10,0,10,2,9,9,10,-1,10,10,9,0,2,10
TV4LB8Y,1/10/2019,M,M,1990,Thanos,politicians,-1,-1,9,-1,5,10,8,4,5,10,10,-1,6,6,2,0,10,4,10,-1,10,10,-1,-1,-1,1,8
ZS9WSBV,1/1/2020,F,M,1977,Pepper Potts,politicians,10,10,10,-1,-1,2,10,0,1,-1,3,-1,4,6,4,-1,10,-1,3,7,10,2,-1,-1,7,7,4
L71EB78,1/4/2018,M,M,1976,Thanos,hotel/restaurant,-1,9,-1,7,7,10,9,2,5,7,10,8,4,0,0,3,4,7,10,9,10,10,-1,5,4,-1,8
BX7W1FU,1/3/2020,M,M,1979,Black Widow,politicians,-1,5,-1,0,10,8,6,3,-1,7,0,-1,6,2,0,2,1,-1,3,-1,5,-1,0,10,6,5,-1
WDES45S,1/6/2017,M,M,1957,Captain America,hotel/restaurant,-1,10,4,-1,10,6,-1,-1,10,-1,-1,3,10,6,4,-1,1,0,9,0,1,-1,5,8,5,4,9
K2BFAR7,1/4/2019,M,M,1993,Groot,hotel/restaurant,9,6,1,9,7,3,0,0,-1,10,2,8,5,8,10,10,1,7,6,-1,0,-1,4,10,4,8,-1
TDE18FI,1/4/2020,M,M,1973,Iron Man,politicians,10,10,10,-1,10,8,10,-1,8,-1,1,0,-1,1,7,2,10,4,7,3,-1,10,-1,7,10,-1,-1
5YHNPQO,1/6/2018,M,S,1996,Thanos,politicians,8,1,6,4,7,10,5,-1,5,9,10,-1,6,-1,0,7,-1,4,10,1,0,10,6,2,1,10,1
482EGJE,1/6/2019,F,M,1995,Captain America,hotel/restaurant,-1,3,8,10,10,10,-1,3,10,10,2,-1,10,-1,9,7,5,10,3,2,-1,2,-1,6,8,4,0
B5B007B,1/2/2018,M,M,1990,MJ,politicians,4,4,-1,10,8,-1,5,3,-1,2,-1,-1,-1,-1,4,10,2,10,5,9,6,-1,10,1,7,7,10
AFXPB9O,1/4/2019,M,M,2000,Black Widow,shopkeepers,9,9,7,-1,4,6,1,1,7,8,0,5,4,-1,5,8,7,6,8,0,-1,-1,0,10,-1,-1,9
HY2N55W,1/5/2017,F,M,1984,Captain America,politicians,2,10,8,0,10,7,0,-1,10,-1,4,6,10,7,5,0,-1,-1,10,2,10,-1,10,7,-1,-1,5
6Z164PQ,1/3/2019,M,M,1988,Thanos,hotel/restaurant,2,4,-1,10,0,10,3,3,-1,10,10,8,5,10,-1,-1,7,6,10,6,0,10,3,-1,-1,2,2
J8T83PH,1/8/2013,M,U,1986,Iron Man,politicians,10,-1,10,1,4,-1,10,-1,3,5,0,7,4,-1,1,2,7,5,-1,8,7,-1,-1,9,10,10,0
8N5TFTV,1/7/2019,M,M,1982,Black Widow,politicians,6,5,2,7,6,10,2,7,-1,2,-1,4,-1,3,0,10,-1,7,7,-1,-1,4,1,10,9,8,-1
D6CSW8B,1/5/2018,M,M,1972,Iron Man,politicians,10,4,10,2,5,-1,10,-1,-1,0,5,-1,-1,1,7,-1,3,-1,9,4,8,4,5,-1,3,2,-1
RZ5VVAJ,1/6/2018,F,M,1984,Spider-Man,hotel/restaurant,-1,2,2,4,5,0,7,6,4,9,-1,-1,1,7,6,10,4,2,-1,3,9,1,10,10,-1,6,10
E6DRV3Q,1/5/2019,F,M,1982,Groot,politicians,8,5,-1,6,8,1,2,-1,-1,10,5,2,-1,5,10,-1,4,6,-1,5,8,5,1,-1,-1,-1,4
UW07V65,1/3/2019,M,M,1984,Spider-Man,politicians,-1,-1,10,9,1,-1,7,8,-1,10,0,9,1,3,4,10,9,1,-1,2,0,6,10,6,-1,-1,10
PRJ4BU7,1/9/2019,M,M,1974,Captain America,engineers,-1,6,-1,5,10,-1,5,10,10,7,10,1,10,3,9,2,1,9,-1,2,7,5,6,0,-1,3,9
4E7WZ49,1/8/2019,F,M,1976,MJ,hotel/restaurant,6,1,8,3,-1,0,7,3,-1,0,4,6,1,9,-1,10,10,9,7,7,4,10,10,3,3,2,10
VYPGIW6,1/4/2019,F,S,1982,Thanos,politicians,7,4,-1,8,1,10,1,1,2,8,10,8,7,6,5,2,0,5,10,-1,8,10,10,-1,10,-1,5
WD90WEE,1/11/2011,M,S,1989,Spider-Man,hotel/restaurant,0,-1,-1,8,1,8,-1,4,1,-1,-1,-1,-1,10,6,10,6,0,10,-1,0,7,10,7,7,4,10
C2UHDZY,1/5/2018,F,S,1968,Groot,politicians,5,-1,9,-1,6,-1,-1,0,2,10,5,5,2,3,10,2,0,10,-1,4,-1,6,10,4,6,7,-1
L7R38LF,1/8/2019,M,M,1991,Iron Man,politicians,10,-1,10,7,2,10,10,3,7,10,7,-1,-1,-1,-1,9,0,8,-1,-1,-1,6,-1,-1,10,6,4
PIPEX7H,1/6/2018,M,M,1987,Iron Man,politicians,10,6,10,-1,1,7,10,4,4,-1,7,5,-1,10,5,3,1,1,-1,-1,4,7,3,-1,2,3,0
NCCDJEV,1/4/2019,M,M,1976,Captain America,politicians,7,6,-1,3,10,-1,9,-1,10,-1,5,4,10,0,-1,9,6,2,-1,2,-1,-1,1,2,-1,8,-1
RYH54X3,1/1/2015,M,U,1978,Iron Man,politicians,10,-1,10,2,-1,5,10,9,-1,0,5,0,10,4,2,9,5,10,2,8,5,5,9,10,9,1,-1
NG3S9XT,1/4/2014,M,M,1967,Groot,hotel/restaurant,7,3,5,6,0,3,-1,10,3,10,9,-1,2,-1,10,4,1,-1,1,0,-1,2,-1,5,4,4,5
TFXB3Z2,1/4/2017,M,M,1967,Captain America,politicians,2,6,1,-1,10,-1,1,-1,10,5,-1,-1,10,10,6,0,3,3,9,7,4,4,3,4,-1,5,1
9T6O3LV,1/8/2016,F,M,1981,Iron Man,politicians,10,4,10,2,7,1,10,-1,10,1,7,6,6,-1,-1,-1,7,5,2,-1,10,-1,5,1,-1,1,7
O5LBZHY,1/4/2018,M,M,1987,Black Widow,shopkeepers,3,-1,10,-1,2,4,8,-1,10,4,3,1,4,0,9,6,8,7,1,8,6,4,9,10,6,2,5
ERK9JH6,1/6/2019,M,M,1974,Spider-Man,politicians,5,6,8,9,0,5,0,2,9,3,8,3,6,5,10,10,1,-1,7,-1,-1,3,10,4,-1,-1,10
W33L5U4,1/9/2019,F,M,1962,Captain America,politicians,8,-1,-1,-1,10,10,4,6,10,-1,10,5,10,-1,7,-1,4,3,4,-1,4,7,-1,-1,-1,-1,-1
BYQ8TG3,1/12/2017,M,M,1975,Spider-Man,politicians,-1,0,9,-1,8,6,10,9,4,4,10,-1,1,4,-1,10,7,-1,3,2,4,4,10,10,-1,10,10
G7H3TNB,1/4/2019,M,M,1984,Spider-Man,politicians,4,3,6,5,-1,9,9,6,9,-1,0,6,-1,3,-1,10,6,-1,9,-1,8,9,10,0,0,-1,10
12AKOA4,1/3/2019,M,M,1991,Captain America,hotel/restaurant,-1,-1,-1,5,10,1,8,4,10,-1,-1,7,10,-1,-1,0,7,-1,-1,1,-1,-1,3,-1,3,-1,-1
YL6ZH0X,1/12/2018,M,M,1975,Groot,politicians,6,4,2,-1,2,-1,-1,3,8,10,0,-1,-1,9,10,6,-1,-1,-1,10,9,-1,5,0,9,-1,10
PLBS1Q5,1/6/2019,M,M,1984,Doctor Strange,shopkeepers,-1,3,1,8,6,9,-1,7,5,9,1,10,-1,10,10,-1,-1,-1,0,10,-1,8,5,8,2,2,5
VF0HX1B,1/9/2019,M,S,1994,Pepper Potts,hotel/restaurant,10,9,10,10,8,10,10,3,10,-1,9,3,-1,3,6,4,-1,10,9,5,-1,3,1,4,-1,9,-1
J7ZF126,1/7/2016,F,M,1979,Loki,politicians,3,10,2,10,6,-1,3,10,-1,7,8,0,4,7,5,3,10,0,1,2,1,-1,2,7,-1,0,4
6J7WDKS,1/4/2019,M,M,1993,Black Widow,shopkeepers,10,1,10,8,6,2,3,-1,-1,0,-1,5,6,7,9,-1,10,2,6,6,-1,10,8,10,6,6,6
QMZOUCE,1/8/2018,M,M,1983,Iron Man,politicians,10,-1,10,10,6,0,10,-1,7,4,7,2,1,6,7,10,2,4,-1,8,0,-1,6,2,5,7,7
58L64BY,1/5/2020,M,M,1982,Spider-Man,hotel/restaurant,2,-1,3,0,-1,8,-1,10,0,-1,-1,-1,6,6,-1,10,7,0,-1,-1,-1,-1,10,2,5,7,10
I2KH7FN,1/4/2018,M,S,1995,Black Widow,politicians,-1,6,0,10,3,7,6,1,4,-1,5,-1,-1,-1,-1,7,10,10,6,6,1,-1,5,10,8,10,7
JW9VWFM,1/1/2017,M,S,1989,Groot,hotel/restaurant,3,9,9,7,1,5,1,2,8,10,8,0,7,10,10,-1,-1,-1,9,2,8,6,1,6,9,-1,-1
T5ZP0A7,1/7/2018,M,M,1990,Iron Man,politicians,10,-1,10,6,10,5,10,10,4,7,8,8,3,9,-1,-1,-1,1,7,3,7,-1,1,-1,-1,4,7
76630CC,1/4/2018,M,M,1973,Iron Man,shopkeepers,10,8,10,4,4,0,10,8,9,7,-1,-1,2,-1,4,-1,2,3,3,1,2,-1,9,6,-1,-1,-1
0GT7D44,1/10/2016,M,M,1960,Captain America,hotel/restaurant,-1,1,3,-1,10,8,6,4,10,6,5,-1,10,-1,1,8,-1,10,-1,-1,-1,-1,-1,-1,-1,4,-1
1PVYNEJ,1/4/2019,M,M,1960,Black Widow,shopkeepers,0,-1,-1,3,-1,5,6,3,1,6,10,8,-1,7,2,-1,-1,7,1,-1,1,3,6,10,-1,0,2
LBP6UZ5,1/8/2018,M,M,1990,Iron Man,freelancers,10,0,10,2,-1,8,10,0,-1,4,10,2,-1,6,-1,6,2,9,3,5,-1,8,9,1,-1,7,3
04IDE0T,1/12/2019,F,M,1976,Captain America,politicians,9,10,3,9,10,4,4,-1,10,-1,-1,7,10,6,-1,10,10,-1,6,-1,0,7,6,9,-1,-1,8
RBTPBRO,1/5/2017,M,M,1978,Iron Man,politicians,10,5,10,6,10,7,10,3,10,-1,5,6,10,9,4,5,9,-1,6,-1,8,2,3,-1,-1,8,-1
45XFAF3,1/7/2017,F,S,1980,Groot,politicians,5,-1,-1,-1,5,-1,10,2,-1,10,-1,4,9,3,10,6,2,3,7,4,-1,9,-1,-1,-1,0,6
0E6642N,1/6/2018,F,M,1984,Iron Man,politicians,10,6,10,-1,0,-1,10,-1,-1,-1,0,0,4,6,8,1,7,3,1,-1,4,6,1,10,2,6,-1
8IUVA60,1/11/2017,M,M,1965,Iron Man,politicians,10,4,10,-1,7,2,10,-1,6,5,10,0,5,-1,2,2,2,5,-1,-1,-1,1,2,-1,-1,-1,3
N6RKTDK,1/8/2019,F,S,1990,Thanos,hotel/restaurant,8,-1,-1,1,-1,10,7,-1,1,5,10,1,-1,3,9,8,0,-1,10,4,-1,10,10,-1,5,10,2
NV3459E,1/10/2017,M,M,1988,Thanos,politicians,-1,1,4,-1,2,10,4,-1,4,6,10,-1,1,9,-1,8,9,5,10,3,1,10,5,7,5,7,-1
3UTW6SC,1/4/2019,F,S,1982,Captain America,politicians,8,1,7,5,10,3,-1,2,10,-1,2,4,10,5,7,5,-1,2,5,1,3,8,-1,8,4,6,1
SUFY7TW,1/10/2014,M,M,1979,Captain America,hotel/restaurant,-1,1,-1,5,10,-1,0,-1,10,6,7,0,10,9,4,1,8,7,1,2,4,-1,-1,1,0,10,0
V3R1VUW,1/5/2019,M,M,1965,Thanos,politicians,-1,7,10,9,7,10,7,-1,-1,1,10,7,10,9,10,-1,-1,-1,10,0,5,10,-1,10,10,3,2
YPQ7QVF,1/6/2020,M,M,1984,Spider-Man,shopkeepers,9,4,10,4,0,3,7,-1,1,8,0,-1,7,5,2,10,7,3,10,-1,6,9,10,1,10,5,10
OFRHT4Z,1/7/2016,M,M,1984,Iron Man,politicians,10,-1,10,0,8,3,10,4,4,-1,-1,8,5,4,9,-1,-1,-1,1,4,3,5,4,3,-1,-1,3
29MIE3M,1/9/2019,F,M,1977,Thanos,politicians,-1,-1,-1,3,2,10,-1,1,10,-1,10,-1,-1,8,4,4,-1,1,10,-1,3,10,-1,0,-1,2,6
73FUEPF,1/11/2016,F,M,1974,Iron Man,politicians,10,-1,10,-1,8,7,10,5,-1,0,7,2,-1,5,1,9,6,1,8,-1,7,1,7,2,-1,6,-1
G9HDK1M,1/12/2018,F,S,1970,Groot,hotel/restaurant,9,2,10,10,9,-1,-1,0,-1,10,10,2,-1,4,10,9,5,6,-1,4,2,6,5,9,3,-1,4
OVOVHPQ,1/10/2017,M,M,1989,Black Widow,hotel/restaurant,0,-1,-1,3,-1,2,8,1,4,-1,3,-1,-1,-1,-1,8,0,9,5,1,4,8,10,10,10,7,8
GOEZAWU,1/2/2018,M,M,1977,Spider-Man,politicians,-1,-1,0,8,-1,4,-1,-1,10,-1,-1,-1,2,4,-1,10,7,1,-1,4,9,6,10,1,0,-1,10
DZYJQKL,1/3/2020,F,M,1978,Black Widow,politicians,10,9,-1,9,5,4,4,0,0,2,6,5,3,0,0,6,9,-1,-1,9,-1,-1,5,10,3,10,7
OAQJR4X,1/2/2018,M,M,1977,Black Widow,hotel/restaurant,4,-1,9,-1,0,9,7,10,2,-1,1,2,-1,2,-1,8,10,2,9,-1,-1,2,10,10,10,-1,-1
74ZQKOG,1/11/2019,M,M,1987,Iron Man,shopkeepers,10,9,10,-1,-1,1,10,9,-1,0,8,-1,8,-1,6,-1,5,-1,7,6,-1,9,6,-1,0,-1,7
T8OFDI9,1/2/2018,M,M,1969,Thanos,politicians,4,-1,10,-1,0,10,10,8,3,4,10,3,8,6,5,-1,0,7,10,10,5,10,8,1,-1,5,-1
UPUXYWM,1/8/2019,F,S,1976,MJ,politicians,-1,-1,4,10,-1,8,5,3,10,9,10,-1,-1,-1,9,10,3,-1,3,-1,5,8,10,-1,7,4,10
EPYWUSH,1/12/2019,M,S,1994,Captain America,engineers,2,-1,-1,9,10,-1,-1,-1,10,1,9,-1,10,10,3,7,-1,1,6,3,-1,4,4,6,-1,-1,4
VHPL1ZR,1/11/2019,M,M,1991,Groot,shopkeepers,6,-1,0,-1,1,0,3,-1,9,10,1,1,9,6,10,6,-1,7,8,7,9,-1,-1,0,6,7,8
NRFN2C3,1/4/2017,F,S,1984,Black Widow,politicians,2,4,2,2,10,-1,-1,3,10,-1,-1,-1,3,9,-1,4,10,-1,-1,6,5,4,6,10,9,6,-1
YU826RZ,1/2/2019,M,M,1997,Iron Man,politicians,10,6,10,-1,-1,7,10,4,9,7,-1,3,-1,1,0,0,2,10,0,4,-1,3,5,4,0,2,-1
X43JNM2,1/8/2019,M,M,1986,Iron Man,shopkeepers,10,-1,10,7,8,8,10,8,4,-1,-1,9,-1,4,7,6,-1,-1,10,0,-1,8,6,-1,-1,10,-1
07TEM45,1/9/2018,F,W,1973,Spider-Man,politicians,6,7,5,-1,7,-1,-1,1,7,5,9,2,-1,7,5,10,2,7,9,6,3,9,10,3,4,6,10
G31I2HT,1/1/2018,M,M,1972,Spider-Man,politicians,-1,8,7,10,10,6,-1,2,0,5,0,1,9,10,-1,10,9,8,6,1,5,4,10,10,-1,6,10
BIBMI2P,1/10/2018,F,M,1986,Groot,politicians,3,2,8,9,3,10,8,8,-1,10,0,3,-1,-1,10,-1,-1,-1,10,-1,7,-1,-1,0,4,-1,-1
RK07LC3,1/8/2018,M,M,1987,Iron Man,politicians,10,1,10,-1,5,-1,10,1,-1,-1,-1,0,-1,-1,8,1,6,-1,-1,7,4,-1,7,0,10,1,4
2I6ZLQC,1/12/2017,F,M,1985,Spider-Man,hotel/restaurant,5,-1,1,5,9,6,3,9,9,-1,3,0,4,7,-1,10,-1,4,7,4,9,10,10,0,-1,-1,10
ITMUOBX,1/2/2020,M,U,1984,Iron Man,politicians,10,-1,10,7,6,0,10,-1,0,10,8,5,8,5,9,-1,6,5,-1,-1,-1,2,7,2,8,4,-1
IE6553W,1/7/2010,M,M,1956,Captain America,hotel/restaurant,-1,-1,0,10,10,-1,10,4,10,9,10,10,10,8,0,-1,3,3,0,-1,5,10,8,0,3,-1,7
AVUQQJQ,1/5/2018,M,M,1975,Iron Man,shopkeepers,10,1,10,10,5,10,10,10,8,3,-1,3,4,2,6,2,2,9,-1,-1,-1,10,3,0,8,8,-1
8A1SNE5,1/5/2018,F,M,1971,Thanos,politicians,6,5,9,2,8,10,1,-1,5,9,10,5,7,4,5,2,10,0,10,-1,0,10,9,4,1,6,-1
NP1U9IQ,1/12/2018,F,M,1987,Iron Man,hotel/restaurant,10,1,10,-1,-1,0,10,-1,-1,5,10,9,8,7,8,-1,7,9,2,3,10,-1,-1,1,2,8,1
COT4D87,1/4/2018,M,M,1969,MJ,politicians,2,10,2,6,8,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,10,9,-1,8,3,10,8,10,-1,-1,0,10
UKSXDIU,1/11/2019,M,M,1981,Doctor Strange,hotel/restaurant,9,8,10,2,5,5,7,-1,-1,10,7,-1,6,10,5,5,3,8,7,2,4,6,8,4,-1,3,10
X65B1XY,1/8/2013,M,U,1991,Iron Man,hotel/restaurant,10,-1,10,7,-1,1,10,-1,-1,-1,-1,1,3,4,6,10,4,-1,3,7,-1,-1,8,-1,-1,2,9
OAPJXSB,1/7/2017,M,M,1977,Ant-Man,politicians,3,-1,9,7,6,1,8,7,-1,-1,0,10,3,0,4,0,0,6,-1,10,10,-1,-1,7,5,2,10
K12A1NN,1/6/2018,M,M,1991,Ant-Man,politicians,0,-1,2,1,8,6,-1,1,6,10,5,10,1,7,7,3,-1,10,4,10,8,7,4,10,-1,0,7
E3HNH7G,1/10/2016,M,M,1992,Iron Man,politicians,10,-1,10,-1,1,9,10,1,-1,-1,-1,4,2,-1,3,-1,-1,4,6,-1,10,-1,7,10,-1,2,-1
BI677JM,1/1/2019,M,M,1994,MJ,hotel/restaurant,-1,5,10,6,-1,1,6,10,10,1,2,0,1,1,8,10,9,-1,-1,7,9,5,10,9,6,-1,10
LUZG2RI,1/1/2020,M,M,1981,Iron Man,politicians,10,-1,10,4,-1,0,10,7,4,-1,-1,4,9,9,5,5,7,7,-1,0,9,10,8,6,5,2,0
RNUDNX7,1/7/2012,M,U,1974,Groot,politicians,4,1,6,5,1,-1,2,9,-1,10,-1,9,3,0,10,0,-1,-1,4,3,8,1,5,-1,-1,1,5
KYKPDL6,1/6/2019,F,S,1986,Pepper Potts,hotel/restaurant,10,-1,10,4,-1,6,10,10,7,7,2,9,1,-1,4,-1,-1,10,2,1,0,-1,6,0,5,9,10
W5L1WU5,1/9/2018,F,M,1981,Iron Man,hotel/restaurant,10,10,10,1,3,6,10,10,10,1,4,-1,4,3,-1,0,6,5,-1,-1,-1,9,-1,-1,1,9,-1
0ZS1HW8,1/9/2015,M,M,1964,Loki,politicians,2,-1,5,10,8,2,2,10,1,-1,-1,-1,-1,9,-1,10,10,7,0,8,-1,-1,9,9,4,2,1
41417PJ,1/9/2018,M,M,1974,Spider-Man,hotel/restaurant,-1,2,-1,-1,-1,3,7,10,9,-1,-1,3,-1,5,8,10,1,8,-1,6,-1,9,10,3,8,8,10
6EZHTWQ,1/9/2019,M,M,1996,Thanos,hotel/restaurant,-1,4,2,-1,9,10,1,2,5,-1,10,4,6,-1,3,2,4,10,10,1,7,10,3,4,6,-1,10
ZTQVRXA,1/4/2019,M,M,1973,MJ,shopkeepers,10,9,-1,-1,10,-1,2,1,0,0,8,9,-1,5,1,10,5,-1,-1,6,9,4,10,-1,7,3,10
P3VV1MW,1/5/2019,F,M,1989,Spider-Man,shopkeepers,-1,-1,8,-1,4,10,2,1,-1,8,3,-1,-1,4,-1,10,5,3,0,3,4,10,10,3,-1,10,10
Q6WH2ZI,1/12/2017,M,M,1984,Black Widow,politicians,5,3,-1,7,0,-1,1,7,2,-1,2,8,-1,10,7,-1,4,6,10,-1,-1,2,9,10,-1,4,3
VYIT1Z8,1/12/2019,M,U,1974,Captain America,politicians,-1,-1,-1,2,10,-1,-1,-1,10,10,10,-1,10,2,3,6,10,-1,2,5,9,-1,10,2,0,1,-1
ISOKOYC,1/12/2018,F,M,1970,Captain America,politicians,1,9,7,-1,10,10,8,7,10,3,9,-1,10,8,0,3,2,-1,6,5,-1,8,0,0,-1,7,9
1UVKZJE,1/5/2017,F,M,1978,Loki,politicians,-1,2,-1,10,0,7,-1,10,6,0,-1,10,8,10,-1,10,10,8,8,0,6,-1,7,5,5,9,7
QSATP2T,1/6/2017,M,M,1958,Black Widow,hotel/restaurant,-1,1,0,3,6,-1,6,4,1,-1,-1,10,-1,8,1,-1,-1,-1,10,-1,2,9,0,10,-1,4,9
CT72PKC,1/9/2017,M,M,1971,Captain America,hotel/restaurant,8,0,-1,2,10,10,6,-1,10,0,5,4,10,-1,8,10,8,-1,4,-1,-1,2,1,7,-1,0,9
O7N49HM,1/3/2018,M,M,1970,Spider-Man,politicians,3,5,-1,4,-1,-1,-1,-1,2,9,2,2,6,6,0,10,7,-1,8,-1,4,4,10,1,-1,8,10
